,Address,Name,City State ZIP,ZIP,Number of Sites,Url,ZIP_str,FULL Address,latitude,longitude
0,",",Paradise Lane,"1522 Wilkes Ave, IL",62305.0,Not found,https://www.mhvillage.com/parks/128978,62305.0,",1522 Wilkes Ave, IL62305.0",,
1,",",Swansea MHP,"Swansea, IL",62226.0,Not found,https://www.mhvillage.com/parks/129240,62226.0,",Swansea, IL62226.0",,
2,"1 Birch Drive,",Wildwood Estates,"Sandwich, IL",60548.0,476,https://www.mhvillage.com/parks/83,60548.0,"1 Birch Drive,Sandwich, IL60548.0",,
3,"1 C Circle Dr,",Country Circle Trailer Park,"Murphysboro, IL",62966.0,Not found,https://www.mhvillage.com/parks/57793,62966.0,"1 C Circle Dr,Murphysboro, IL62966.0",,
4,"1 Coachlight Dr,",Coachlight Mobile Home Park,"Danville, IL",61832.0,Not found,https://www.mhvillage.com/parks/57662,61832.0,"1 Coachlight Dr,Danville, IL61832.0",,
5,"1 Dars Road,",Greentree Mobile Home Park,"Murphysboro, IL",62966.0,Not found,https://www.mhvillage.com/parks/36811,62966.0,"1 Dars Road,Murphysboro, IL62966.0",,
6,"1 Esquire Est,",Esquire Estates Mobile Home Park,"Brimfield, IL",61517.0,Not found,https://www.mhvillage.com/parks/11145,61517.0,"1 Esquire Est,Brimfield, IL61517.0",,
7,"1 Fern St.,","Spruce Commons MHC, LLC","Urbana, IL",61802.0,34,https://www.mhvillage.com/parks/110926,61802.0,"1 Fern St.,Urbana, IL61802.0",,
8,"1 Fountain Ln,",Ron's Court,"Red Bud, IL",62278.0,Not found,https://www.mhvillage.com/parks/107376,62278.0,"1 Fountain Ln,Red Bud, IL62278.0",,
9,"1 Fountain Valley,",Fountain Valley,"Rantoul, IL",61866.0,190,https://www.mhvillage.com/parks/10218,61866.0,"1 Fountain Valley,Rantoul, IL61866.0",,
10,"1 Happy Ours Ln,",Happy Ours Trailer Court,"Murphysboro, IL",62966.0,Not found,https://www.mhvillage.com/parks/57785,62966.0,"1 Happy Ours Ln,Murphysboro, IL62966.0",,
11,"1 Lakeview Road,",Lakeview Ranch,"Gays, IL",61928.0,137,https://www.mhvillage.com/parks/74510,61928.0,"1 Lakeview Road,Gays, IL61928.0",,
12,"1 Maple City Trailer Ct,",Maple City Mobile Home Park,"Geneseo, IL",61254.0,39,https://www.mhvillage.com/parks/10582,61254.0,"1 Maple City Trailer Ct,Geneseo, IL61254.0",,
13,"1 Maple Valley,",Maple Ridge Mobile Home Park,"Manteno, IL",60950.0,276,https://www.mhvillage.com/parks/57826,60950.0,"1 Maple Valley,Manteno, IL60950.0",,
14,"1 N Walnut St,",Harris Mobile Home Court,"Freeburg, IL",62243.0,Not found,https://www.mhvillage.com/parks/11387,62243.0,"1 N Walnut St,Freeburg, IL62243.0",,
15,"1 Parkview Trailer Court,",Parkview Mobile Home Court,"Tuscola, IL",61953.0,30,https://www.mhvillage.com/parks/10468,61953.0,"1 Parkview Trailer Court,Tuscola, IL61953.0",,
16,"1 Pheasant Circle,",Pheasant Lake Estates,"Beecher, IL",60401.0,613,https://www.mhvillage.com/parks/87,60401.0,"1 Pheasant Circle,Beecher, IL60401.0",,
17,"1 Saddlebrook Drive,",Saddlebrook Farms,"Grayslake, IL",60030.0,1775,https://www.mhvillage.com/parks/75235,60030.0,"1 Saddlebrook Drive,Grayslake, IL60030.0",,
18,"1 Silver Circle,",Maple Valley,"Manteno, IL",60950.0,201,https://www.mhvillage.com/parks/10713,60950.0,"1 Silver Circle,Manteno, IL60950.0",,
