,Unnamed: 0,Address,Name,City State ZIP,ZIP,Number of Sites,Url,ZIP_str,FULL Address,latitude,longitude,House district,Senate district
0,0,",",Paradise Lane,"1522 Wilkes Ave, IL",62305.0,Not found,https://www.mhvillage.com/parks/128978,62305,",1522 Wilkes Ave, IL, 62305",39.9923959,-91.3895046,99.0,50.0
1,1,",",Swansea MHP,"Swansea, IL",62226.0,Not found,https://www.mhvillage.com/parks/129240,62226,",Swansea, IL, 62226",38.5339392,-89.9889936,113.0,57.0
2,2,"1 Birch Drive,",Wildwood Estates,"Sandwich, IL",60548.0,476,https://www.mhvillage.com/parks/83,60548,"1 Birch Drive,Sandwich, IL, 60548",,,0.0,0.0
3,3,"1 C Circle Dr,",Country Circle Trailer Park,"Murphysboro, IL",62966.0,Not found,https://www.mhvillage.com/parks/57793,62966,"1 C Circle Dr,Murphysboro, IL, 62966",,,0.0,0.0
4,4,"1 Coachlight Dr,",Coachlight Mobile Home Park,"Danville, IL",61832.0,Not found,https://www.mhvillage.com/parks/57662,61832,"1 Coachlight Dr,Danville, IL, 61832",,,0.0,0.0
5,5,"1 Dars Road,",Greentree Mobile Home Park,"Murphysboro, IL",62966.0,Not found,https://www.mhvillage.com/parks/36811,62966,"1 Dars Road,Murphysboro, IL, 62966",,,0.0,0.0
6,6,"1 Esquire Est,",Esquire Estates Mobile Home Park,"Brimfield, IL",61517.0,Not found,https://www.mhvillage.com/parks/11145,61517,"1 Esquire Est,Brimfield, IL, 61517",,,0.0,0.0
7,7,"1 Fern St.,","Spruce Commons MHC, LLC","Urbana, IL",61802.0,34,https://www.mhvillage.com/parks/110926,61802,"1 Fern St.,Urbana, IL, 61802",,,0.0,0.0
8,8,"1 Fountain Ln,",Ron's Court,"Red Bud, IL",62278.0,Not found,https://www.mhvillage.com/parks/107376,62278,"1 Fountain Ln,Red Bud, IL, 62278",,,0.0,0.0
9,9,"1 Fountain Valley,",Fountain Valley,"Rantoul, IL",61866.0,190,https://www.mhvillage.com/parks/10218,61866,"1 Fountain Valley,Rantoul, IL, 61866",40.281206,-88.169653,104.0,52.0
10,10,"1 Happy Ours Ln,",Happy Ours Trailer Court,"Murphysboro, IL",62966.0,Not found,https://www.mhvillage.com/parks/57785,62966,"1 Happy Ours Ln,Murphysboro, IL, 62966",,,0.0,0.0
11,11,"1 Lakeview Road,",Lakeview Ranch,"Gays, IL",61928.0,137,https://www.mhvillage.com/parks/74510,61928,"1 Lakeview Road,Gays, IL, 61928",,,0.0,0.0
12,12,"1 Maple City Trailer Ct,",Maple City Mobile Home Park,"Geneseo, IL",61254.0,39,https://www.mhvillage.com/parks/10582,61254,"1 Maple City Trailer Ct,Geneseo, IL, 61254",41.4468505,-90.164244,73.0,37.0
13,13,"1 Maple Valley,",Maple Ridge Mobile Home Park,"Manteno, IL",60950.0,276,https://www.mhvillage.com/parks/57826,60950,"1 Maple Valley,Manteno, IL, 60950",,,0.0,0.0
14,14,"1 N Walnut St,",Harris Mobile Home Court,"Freeburg, IL",62243.0,Not found,https://www.mhvillage.com/parks/11387,62243,"1 N Walnut St,Freeburg, IL, 62243",38.426417,-89.916028,114.0,57.0
15,15,"1 Parkview Trailer Court,",Parkview Mobile Home Court,"Tuscola, IL",61953.0,30,https://www.mhvillage.com/parks/10468,61953,"1 Parkview Trailer Court,Tuscola, IL, 61953",,,0.0,0.0
16,16,"1 Pheasant Circle,",Pheasant Lake Estates,"Beecher, IL",60401.0,613,https://www.mhvillage.com/parks/87,60401,"1 Pheasant Circle,Beecher, IL, 60401",41.3559651,-87.6123478,29.0,15.0
17,17,"1 Saddlebrook Drive,",Saddlebrook Farms,"Grayslake, IL",60030.0,1775,https://www.mhvillage.com/parks/75235,60030,"1 Saddlebrook Drive,Grayslake, IL, 60030",,,0.0,0.0
18,18,"1 Silver Circle,",Maple Valley,"Manteno, IL",60950.0,201,https://www.mhvillage.com/parks/10713,60950,"1 Silver Circle,Manteno, IL, 60950",41.255479,-87.826694,29.0,15.0
19,19,"1 Timber Creek Drive,",Villas Of Timber Creek,"Round Lake, IL",60073.0,247,https://www.mhvillage.com/parks/10813,60073,"1 Timber Creek Drive,Round Lake, IL, 60073",,,0.0,0.0
20,20,"1 Wheel Ranch Park,",Wheel Ranch Mobile Home Park,"Glen Carbon, IL",62034.0,32,https://www.mhvillage.com/parks/10945,62034,"1 Wheel Ranch Park,Glen Carbon, IL, 62034",,,0.0,0.0
21,21,"10 Susanne Court,",Countryside Gardens,"Caseyville, IL",62232.0,Not found,https://www.mhvillage.com/parks/11344,62232,"10 Susanne Court,Caseyville, IL, 62232",38.640365,-90.034095,112.0,56.0
22,22,"100 First Street,",Spring Lake Mobile Home Estates,"Bartlett, IL",60103.0,511,https://www.mhvillage.com/parks/10341,60103,"100 First Street,Bartlett, IL, 60103",,,0.0,0.0
23,23,"100 Forest View Drive,",Forest View Manor Manufactured Home Park,"Genoa, IL",60135.0,100,https://www.mhvillage.com/parks/10439,60135,"100 Forest View Drive,Genoa, IL, 60135",42.091874,-88.697402,89.0,45.0
24,24,"100 Julius Dr.,",Valley View Estates,"Shiloh, IL",62269.0,233,https://www.mhvillage.com/parks/11690,62269,"100 Julius Dr.,Shiloh, IL, 62269",,,0.0,0.0
25,25,"100 N Rolling Green Lane,",Rolling Green Estates,"Rochelle, IL",61068.0,86,https://www.mhvillage.com/parks/11132,61068,"100 N Rolling Green Lane,Rochelle, IL, 61068",,,0.0,0.0
